,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Conditions,Rainfall (Last 3hrs)
0,Ushuaia,-54.8,-68.3,34.7,95,100,3.6,AR,2020-01-24 04:17:56,light rain,1.5
1,Bredasdorp,-34.53,20.04,66.0,88,81,3.36,ZA,2020-01-24 04:20:04,light rain,0.13
2,Castro,-24.79,-50.01,58.87,99,98,4.72,BR,2020-01-24 04:19:26,light rain,0.44
3,Hithadhoo,-0.6,73.08,84.47,78,18,11.63,MV,2020-01-24 04:20:06,light rain,0.88
4,Sao Joao Da Barra,-21.64,-41.05,72.48,96,100,5.35,BR,2020-01-24 04:20:09,moderate rain,10.13
5,Atuona,-9.8,-139.03,81.25,75,1,11.72,PF,2020-01-24 04:20:10,light rain,0.19
6,Saint-Pierre,-21.34,55.48,78.8,94,96,9.17,RE,2020-01-24 04:20:11,light rain,0.81
7,Nabire,-3.37,135.48,82.24,82,4,3.65,ID,2020-01-24 04:16:00,light rain,2.56
8,Dingle,11.0,122.67,82.06,79,36,9.89,PH,2020-01-24 04:12:55,light rain,0.94
9,Arraial Do Cabo,-22.97,-42.03,71.64,84,100,3.38,BR,2020-01-24 04:19:25,light rain,0.75
10,Saint-Joseph,-21.37,55.62,78.8,94,96,9.17,RE,2020-01-24 04:20:27,light rain,0.81
11,Vao,-22.67,167.48,77.68,76,100,14.38,NC,2020-01-24 04:12:34,light rain,0.13
12,Baracoa,20.35,-74.5,70.23,79,8,6.51,CU,2020-01-24 04:20:29,light rain,0.13
13,Meulaboh,4.14,96.13,81.46,77,78,6.22,ID,2020-01-24 04:20:33,light rain,0.63
14,Coolum Beach,-26.53,153.1,90.0,77,96,3.0,AU,2020-01-24 04:20:34,light rain,0.13
15,Vega De Alatorre,20.03,-96.63,70.5,89,100,10.07,MX,2020-01-24 04:20:40,light rain,1.13
16,Salinopolis,-0.61,-47.36,81.14,83,100,13.18,BR,2020-01-24 04:20:41,light rain,0.69
17,Saint-Philippe,-21.36,55.77,78.8,94,100,9.17,RE,2020-01-24 04:20:42,light rain,0.38
18,Tonantins,-2.87,-67.8,77.14,89,94,1.68,BR,2020-01-24 04:20:45,light rain,2.44
19,Cidreira,-30.18,-50.21,73.69,75,61,19.84,BR,2020-01-24 04:13:22,light rain,0.25
20,Kiunga,-6.12,141.29,83.77,91,100,2.33,PG,2020-01-24 04:20:48,moderate rain,5.69
21,Mahon,39.89,4.27,51.8,93,7,5.82,ES,2020-01-24 04:20:50,light rain,1.0
22,Boa Esperanca,-21.09,-45.57,66.88,97,100,9.46,BR,2020-01-24 04:21:01,moderate rain,6.38
23,Prince Rupert,54.32,-130.32,42.31,89,100,11.9,CA,2020-01-24 04:21:02,light rain,2.38
24,Caravelas,-17.71,-39.25,76.82,88,100,28.27,BR,2020-01-24 04:18:33,light rain,3.0
25,Carutapera,-1.2,-46.02,81.86,81,100,11.97,BR,2020-01-24 04:15:00,light rain,0.75
26,Butaritari,3.07,172.79,83.88,75,34,12.3,KI,2020-01-24 04:21:05,light rain,0.56
27,Lengshuitan,26.41,111.6,47.41,87,93,7.07,CN,2020-01-24 04:21:08,light rain,0.5
28,Richards Bay,-28.78,32.04,74.93,74,58,2.06,ZA,2020-01-24 04:21:11,light rain,0.25
29,Wynyard,-41.0,145.72,66.99,82,97,10.0,AU,2020-01-24 04:21:13,light rain,0.19
30,Pangoa,-12.12,-73.0,70.2,98,100,2.15,PE,2020-01-24 04:21:21,light rain,2.0
31,Gewane,10.17,40.65,70.97,72,100,11.25,ET,2020-01-24 04:21:22,light rain,0.25
32,Ambilobe,-13.2,49.05,77.72,87,100,8.39,MG,2020-01-24 04:14:45,light rain,1.81
33,Port Macquarie,-31.43,152.92,93.0,65,88,14.38,AU,2020-01-24 04:21:26,light rain,1.88
34,Maceio,-9.67,-35.74,77.0,88,100,3.36,BR,2020-01-24 04:13:26,light rain,0.19
35,Los Llanos De Aridane,28.66,-17.92,59.0,54,48,6.93,ES,2020-01-24 04:21:34,light rain,0.19
36,Were Ilu,10.6,39.43,55.13,80,100,1.81,ET,2020-01-24 04:21:35,light rain,0.69
37,Sertania,-8.07,-37.26,73.45,87,100,7.76,BR,2020-01-24 04:21:40,light rain,2.06
38,Vanimo,-2.67,141.3,82.45,75,68,2.89,PG,2020-01-24 04:12:44,light rain,1.13
39,Macheng,31.18,115.03,45.97,83,100,5.97,CN,2020-01-24 04:18:03,light rain,0.25
40,Pringsewu,-5.36,104.97,81.41,78,100,5.23,ID,2020-01-24 04:21:43,light rain,0.13
41,Katobu,-4.94,122.53,87.76,66,3,3.47,ID,2020-01-24 04:21:45,light rain,1.06
42,Luau,-10.71,22.22,66.25,97,100,2.35,AO,2020-01-24 04:21:48,light rain,0.56
43,Galle,6.04,80.22,79.47,84,46,8.48,LK,2020-01-24 04:21:50,light rain,0.19
44,Brae,60.4,-1.35,44.6,80,100,27.51,GB,2020-01-24 04:18:01,light rain,0.44
45,Marawi,8.0,124.29,81.0,86,36,8.99,PH,2020-01-24 04:21:53,scattered clouds,0.06
46,Piacabucu,-10.41,-36.43,78.42,87,100,9.06,BR,2020-01-24 04:21:55,light rain,0.81
47,Pilar Do Sul,-23.81,-47.72,63.0,99,98,3.09,BR,2020-01-24 04:22:05,light rain,0.38
48,Lircay,-12.99,-74.72,48.34,77,96,5.03,PE,2020-01-24 04:22:05,moderate rain,3.63
49,Mackay,-21.15,149.2,91.99,52,87,13.87,AU,2020-01-24 04:15:06,light rain,0.5
50,Kalmunai,7.42,81.82,81.91,75,19,19.26,LK,2020-01-24 04:22:09,light rain,0.31
51,Kieta,-6.22,155.63,84.69,70,70,7.05,PG,2020-01-24 04:22:09,light rain,0.69
52,Kibondo,-3.59,30.72,63.66,96,98,0.25,TZ,2020-01-24 04:22:12,light rain,3.0
53,Novorzhev,57.03,29.33,35.8,90,100,12.1,RU,2020-01-24 04:22:13,light rain,0.19
54,Osmena,10.52,119.93,80.42,82,62,18.28,PH,2020-01-24 04:22:14,light rain,0.19
55,Sao Jose Da Coroa Grande,-8.9,-35.15,81.93,79,100,10.87,BR,2020-01-24 04:14:54,light rain,0.38
56,Monte Santo,-10.44,-39.33,71.35,94,100,3.91,BR,2020-01-24 04:22:20,light rain,0.81
57,Lufilufi,-13.87,-171.6,86.0,74,52,13.94,WS,2020-01-24 04:22:21,light rain,0.88
58,Itarema,-2.92,-39.92,76.39,93,100,2.68,BR,2020-01-24 04:22:26,light rain,0.5
